day,fills,pnl_TOMATOES,pos_TOMATOES,timestamp
-1,0,0.0,0,0
-1,0,0.0,0,100
-1,0,0.0,0,200
-1,0,0.0,0,300
-1,0,0.0,0,400
-1,0,0.0,0,500
-1,0,0.0,0,600
-1,0,0.0,0,700
-1,0,0.0,0,800
-1,0,0.0,0,900
-1,0,0.0,0,1000
-1,0,0.0,0,1100
-1,0,0.0,0,1200
-1,0,0.0,0,1300
-1,0,0.0,0,1400
-1,1,-24.0,-8,1500
-1,0,4.0,-8,1600
-1,0,8.0,-8,1700
-1,0,12.0,-8,1800
-1,0,12.0,-8,1900
-1,0,16.0,-8,2000
-1,0,20.0,-8,2100
-1,0,32.0,-8,2200
-1,0,36.0,-8,2300
-1,0,40.0,-8,2400
-1,0,44.0,-8,2500
-1,0,44.0,-8,2600
-1,0,36.0,-8,2700
-1,0,32.0,-8,2800
-1,0,32.0,-8,2900
-1,0,40.0,-8,3000
-1,0,40.0,-8,3100
-1,0,44.0,-8,3200
-1,0,40.0,-8,3300
-1,0,44.0,-8,3400
-1,0,52.0,-8,3500
-1,0,52.0,-8,3600
-1,0,52.0,-8,3700
-1,0,56.0,-8,3800
-1,0,48.0,-8,3900
-1,0,44.0,-8,4000
-1,0,44.0,-8,4100
-1,0,44.0,-8,4200
-1,0,76.0,-8,4300
-1,0,52.0,-8,4400
-1,0,48.0,-8,4500
-1,0,48.0,-8,4600
-1,0,48.0,-8,4700
-1,0,48.0,-8,4800
-1,0,48.0,-8,4900
-1,0,44.0,-8,5000
-1,0,44.0,-8,5100
-1,0,44.0,-8,5200
-1,0,44.0,-8,5300
-1,0,44.0,-8,5400
-1,0,44.0,-8,5500
-1,0,44.0,-8,5600
-1,1,-8.0,-16,5700
-1,0,64.0,-16,5800
-1,0,64.0,-16,5900
-1,0,56.0,-16,6000
-1,0,56.0,-16,6100
-1,0,48.0,-16,6200
-1,0,56.0,-16,6300
-1,0,56.0,-16,6400
-1,0,56.0,-16,6500
-1,0,48.0,-16,6600
-1,0,48.0,-16,6700
-1,0,32.0,-16,6800
-1,0,40.0,-16,6900
-1,0,32.0,-16,7000
-1,0,16.0,-16,7100
-1,0,24.0,-16,7200
-1,0,24.0,-16,7300
-1,0,24.0,-16,7400
-1,0,16.0,-16,7500
-1,0,8.0,-16,7600
-1,0,8.0,-16,7700
-1,0,16.0,-16,7800
-1,0,0.0,-16,7900
-1,0,0.0,-16,8000
-1,0,-8.0,-16,8100
-1,0,-8.0,-16,8200
-1,0,-8.0,-16,8300
-1,0,-24.0,-16,8400
-1,0,-24.0,-16,8500
-1,0,-24.0,-16,8600
-1,0,-32.0,-16,8700
-1,0,-32.0,-16,8800
-1,0,-24.0,-16,8900
-1,0,-24.0,-16,9000
-1,0,-16.0,-16,9100
-1,0,-24.0,-16,9200
-1,0,-24.0,-16,9300
-1,0,-16.0,-16,9400
-1,0,-16.0,-16,9500
-1,0,-8.0,-16,9600
-1,0,-16.0,-16,9700
-1,0,-16.0,-16,9800
-1,0,-16.0,-16,9900
-1,0,-16.0,-16,10000
-1,0,-24.0,-16,10100
-1,0,-40.0,-16,10200
-1,0,-48.0,-16,10300
-1,0,-48.0,-16,10400
-1,0,-56.0,-16,10500
-1,0,0.0,-16,10600
-1,0,-48.0,-16,10700
-1,0,-32.0,-16,10800
-1,0,-16.0,-16,10900
-1,0,-8.0,-16,11000
-1,0,0.0,-16,11100
-1,0,-8.0,-16,11200
-1,0,0.0,-16,11300
-1,0,0.0,-16,11400
-1,0,0.0,-16,11500
-1,0,0.0,-16,11600
-1,0,0.0,-16,11700
-1,0,48.0,-16,11800
-1,0,-8.0,-16,11900
-1,0,8.0,-16,12000
-1,0,0.0,-16,12100
-1,0,-16.0,-16,12200
-1,0,-24.0,-16,12300
-1,0,-32.0,-16,12400
-1,0,-24.0,-16,12500
-1,0,-16.0,-16,12600
-1,0,0.0,-16,12700
-1,0,0.0,-16,12800
-1,0,8.0,-16,12900
-1,0,8.0,-16,13000
-1,0,24.0,-16,13100
-1,0,16.0,-16,13200
-1,0,16.0,-16,13300
-1,0,8.0,-16,13400
-1,0,0.0,-16,13500
-1,0,0.0,-16,13600
-1,1,-68.0,-20,13700
-1,0,22.0,-20,13800
-1,1,81.0,-14,13900
-1,0,25.0,-14,14000
-1,0,32.0,-14,14100
-1,0,32.0,-14,14200
-1,0,39.0,-14,14300
-1,0,25.0,-14,14400
-1,0,39.0,-14,14500
-1,0,81.0,-14,14600
-1,0,46.0,-14,14700
-1,0,46.0,-14,14800
-1,0,18.0,-14,14900
-1,0,46.0,-14,15000
-1,0,39.0,-14,15100
-1,0,46.0,-14,15200
-1,0,46.0,-14,15300
-1,0,46.0,-14,15400
-1,0,39.0,-14,15500
-1,0,32.0,-14,15600
-1,0,32.0,-14,15700
-1,0,18.0,-14,15800
-1,0,67.0,-14,15900
-1,0,32.0,-14,16000
-1,0,74.0,-14,16100
-1,0,39.0,-14,16200
-1,0,53.0,-14,16300
-1,0,46.0,-14,16400
-1,0,46.0,-14,16500
-1,0,46.0,-14,16600
-1,0,53.0,-14,16700
-1,0,46.0,-14,16800
-1,0,53.0,-14,16900
-1,0,53.0,-14,17000
-1,0,60.0,-14,17100
-1,0,53.0,-14,17200
-1,0,46.0,-14,17300
-1,0,11.0,-14,17400
-1,0,46.0,-14,17500
-1,0,53.0,-14,17600
-1,0,53.0,-14,17700
-1,0,53.0,-14,17800
-1,0,60.0,-14,17900
-1,0,67.0,-14,18000
-1,0,60.0,-14,18100
-1,0,67.0,-14,18200
-1,0,74.0,-14,18300
-1,0,74.0,-14,18400
-1,0,123.0,-14,18500
-1,0,88.0,-14,18600
-1,0,88.0,-14,18700
-1,0,102.0,-14,18800
-1,0,109.0,-14,18900
-1,0,109.0,-14,19000
-1,0,116.0,-14,19100
-1,0,116.0,-14,19200
-1,0,102.0,-14,19300
-1,0,95.0,-14,19400
-1,0,95.0,-14,19500
-1,0,102.0,-14,19600
-1,0,95.0,-14,19700
-1,0,95.0,-14,19800
-1,0,102.0,-14,19900
-1,0,102.0,-14,20000
-1,0,109.0,-14,20100
-1,0,95.0,-14,20200
-1,0,95.0,-14,20300
-1,1,137.0,-10,20400
-1,0,87.0,-10,20500
-1,0,107.0,-10,20600
-1,0,82.0,-10,20700
-1,0,102.0,-10,20800
-1,0,97.0,-10,20900
-1,0,92.0,-10,21000
-1,0,102.0,-10,21100
-1,0,112.0,-10,21200
-1,0,107.0,-10,21300
-1,0,112.0,-10,21400
-1,0,102.0,-10,21500
-1,0,102.0,-10,21600
-1,0,102.0,-10,21700
-1,0,102.0,-10,21800
-1,0,112.0,-10,21900
-1,0,107.0,-10,22000
-1,0,112.0,-10,22100
-1,0,112.0,-10,22200
-1,0,112.0,-10,22300
-1,0,122.0,-10,22400
-1,0,117.0,-10,22500
-1,0,82.0,-10,22600
-1,0,117.0,-10,22700
-1,0,117.0,-10,22800
-1,0,117.0,-10,22900
-1,0,127.0,-10,23000
-1,0,127.0,-10,23100
-1,0,127.0,-10,23200
-1,0,132.0,-10,23300
-1,0,132.0,-10,23400
-1,0,137.0,-10,23500
-1,0,132.0,-10,23600
-1,0,132.0,-10,23700
-1,0,137.0,-10,23800
-1,0,142.0,-10,23900
-1,0,147.0,-10,24000
-1,0,137.0,-10,24100
-1,0,137.0,-10,24200
-1,0,137.0,-10,24300
-1,0,132.0,-10,24400
-1,0,137.0,-10,24500
-1,0,142.0,-10,24600
-1,0,147.0,-10,24700
-1,0,137.0,-10,24800
-1,0,142.0,-10,24900
